name,web_pages,country,domains,state-province
Hunter College CUNY,https://hunter.cuny.edu/,United States,hunter.cuny.edu,"New York, NY"
CUNY York College,https://www.york.cuny.edu/,United States,york.cuny.edu,"New York, NY"
Unity Environmental College,https://unity.edu/,United States,unity.edu,Maine
Island Drafting & Technical Institute,https://www.idti.edu/,United States,idti.edu,NY
Bay Path University,https://www.baypath.edu/,United States,baypath.edu,MA
State University of New York at Oneonta,https://suny.oneonta.edu,United States,suny.oneonta.edu,New York
Northwestern Michigan College,https://www.nmc.edu,United States,nmc.edu,Michigan
Abraham Baldwin Agricultural College,https://www.abac.edu/,United States,abac.edu,Georgia
Capital University,https://www.capital.edu/,United States,capital.edu,Ohio
State University of New York College at Oneonta,https://suny.oneonta.edu/,United States,oneonta.edu,New York
University of Mount Olive,https://umo.edu/,United States,umo.edu,North Carolina
The University of Olivet,https://www.uolivet.edu/,United States,olivetcollege.edu,Michigan
Westminster University,https://westminsteru.edu/,United States,westminsteru.edu,"Salt Lake City, Utah"
Dominican University,https://www.dom.edu/,United States,dom.edu,Illinois
